GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clinic-service,com.demo.spring.services,PatientDiagnosticService,31,3,2,0,6,1,2,1,1,1
clinic-service,com.demo.spring.services,DoctorSpecialityService,4,125,1,11,1,23,1,9,0,4
clinic-service,com.demo.spring.services,DiagnosticService,0,58,0,4,0,12,0,6,0,4
clinic-service,com.demo.spring.services,DoctorService,18,7,2,0,4,2,2,2,1,2
clinic-service,com.demo.spring.controller,DiagnosticRestController,0,20,0,0,0,4,0,4,0,4
clinic-service,com.demo.spring.controller,DoctorRestController,5,17,0,2,1,5,1,3,1,2
clinic-service,com.demo.spring.controller,PatientDiagnosticRestController,37,3,4,0,4,1,3,1,1,1
clinic-service,com.demo.spring.controller,DoctorSpecialityRestController,4,26,1,1,1,6,1,4,0,4
clinic-service,com.demo.spring.dto,DiagnosticDTO,9,17,0,0,4,8,1,5,1,5
clinic-service,com.demo.spring.dto,DoctorDTO,15,31,0,0,6,14,1,9,1,9
clinic-service,com.demo.spring.dto,SpecialityDTO,9,17,0,0,4,8,1,5,1,5
clinic-service,com.demo.spring.dto,PatientDiagnosticDTO,9,17,0,0,4,8,1,5,1,5
clinic-service,com.demo.spring.dto,PatientDTO,15,31,0,0,6,14,1,9,1,9
clinic-service,com.demo.spring.dto,DoctorSpecialityDTO,9,20,0,0,4,9,1,6,1,6
clinic-service,com.demo.spring.entity,DoctorSpeciality,4,41,0,0,2,18,1,8,1,8
clinic-service,com.demo.spring.entity,PatientDiagnostic,28,17,0,0,12,8,4,5,4,5
clinic-service,com.demo.spring.entity,Diagnostic,0,26,0,0,0,12,0,6,0,6
clinic-service,com.demo.spring.entity,Doctor,0,46,0,0,0,20,0,10,0,10
clinic-service,com.demo.spring.entity,Speciality,9,17,0,0,4,8,1,5,1,5
clinic-service,com.demo.spring,ClinicServiceApplication,5,30,0,0,2,4,1,3,1,3
clinic-service,com.demo.spring.exceptions,DiagnosticTestNotExistsException,3,0,0,0,1,0,1,0,1,0
clinic-service,com.demo.spring.exceptions,DoctorSpecialityNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,PatientNotFoundException,6,3,0,0,1,1,1,1,1,1
clinic-service,com.demo.spring.exceptions,SpecialityNotFoundException,6,3,0,0,1,1,1,1,1,1
clinic-service,com.demo.spring.exceptions,DiagnosticTestExistsException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DoctorNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DiagnosticNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,PatientNotExistsException,3,0,0,0,1,0,1,0,1,0
clinic-service,com.demo.spring.util,Message,7,9,0,0,4,4,2,2,2,2
clinic-service,com.demo.spring.util,ServerConfiguration,21,12,0,0,9,4,6,1,6,1
